label,support,precision,recall,f1,auc_pr,roc_auc
low quality,142,0.986013986013986,0.9929577464788732,0.9894736842105263,0.9995992528899765,0.9998686759250139
instrumental,99,0.8297872340425532,0.7878787878787878,0.8082901554404145,0.8497666773481191,0.9623673172401986
emotional,54,0.7413793103448276,0.7962962962962963,0.7678571428571429,0.8974842071038818,0.9844186546314205
noisy,75,0.7263157894736842,0.92,0.8117647058823529,0.9191254230968492,0.9847983870967741
medium tempo,56,0.775,0.5535714285714286,0.6458333333333334,0.6804646282987168,0.9401699029126214
passionate,55,0.6825396825396826,0.7818181818181819,0.7288135593220338,0.8764090285453151,0.9728505990133898
energetic,63,0.7205882352941176,0.7777777777777778,0.7480916030534351,0.8429002071573851,0.9542557180352457
amateur recording,60,0.6666666666666666,0.7333333333333333,0.6984126984126984,0.7070723291191487,0.9310665362035224
slow tempo,51,0.7291666666666666,0.6862745098039216,0.7070707070707071,0.7010088302225445,0.9324283559577679
live performance,54,0.75,0.8333333333333334,0.7894736842105263,0.8163263843406771,0.9585930224228096
acoustic drums,33,0.62,0.9393939393939394,0.7469879518072289,0.7927925227719071,0.9860594795539034
fast tempo,37,0.56,0.7567567567567568,0.6436781609195402,0.7583925040189351,0.9776040085028849
mono,41,0.7727272727272727,0.8292682926829268,0.8,0.8569565401908716,0.976576161988035
groovy,24,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8796005944261513,0.9900213284582572
electric guitar,25,0.5813953488372093,1.0,0.7352941176470589,0.8108306562751337,0.9926739926739927
bass guitar,24,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9213330719481374,0.9873552711761121
acoustic guitar,36,0.543859649122807,0.8611111111111112,0.6666666666666666,0.7350318527927792,0.9731568016614744
instrumental music,19,0.8095238095238095,0.8947368421052632,0.85,0.912237181377022,0.9852212051868803
uptempo,27,0.28,0.5185185185185185,0.36363636363636365,0.43894231840283504,0.9429125816993464
piano,25,0.625,0.8,0.7017543859649122,0.8370501505788626,0.9717948717948719
poor audio quality,16,0.4411764705882353,0.9375,0.6,0.589890602292957,0.9815315315315316
e-bass,23,0.7096774193548387,0.9565217391304348,0.8148148148148148,0.8617668910709697,0.9957156458267217
happy,14,0.5789473684210527,0.7857142857142857,0.6666666666666666,0.807749619697888,0.9537060784816619
groovy bass,22,0.525,0.9545454545454546,0.6774193548387096,0.7747905211078371,0.98642159297897
punchy kick,25,0.5,0.88,0.6376811594202898,0.6926362131130034,0.9838827838827839
moderate tempo,26,0.44642857142857145,0.9615384615384616,0.6097560975609756,0.634960332531564,0.981333803810868
punchy snare,30,0.6521739130434783,1.0,0.7894736842105263,0.8555107976394858,0.9941466420209489
male voice,32,0.8055555555555556,0.90625,0.8529411764705882,0.8097763904522137,0.9852446660482373
shimmering hi hats,25,0.6410256410256411,1.0,0.78125,0.7067395825896575,0.9908058608058607
male vocal,14,0.5833333333333334,1.0,0.7368421052631579,0.8788220551378447,0.9980123108489356
rock,20,0.65,0.65,0.65,0.7698293585234391,0.9646551724137931
spirited,15,0.27906976744186046,0.8,0.41379310344827586,0.31885390929150537,0.9616306954436451
electronic drums,15,0.6470588235294118,0.7333333333333333,0.6875,0.633672725909568,0.9802757793764988
pop,20,0.5384615384615384,0.7,0.6086956521739131,0.7302961702876934,0.9185571687840289
romantic,12,0.42857142857142855,0.75,0.5454545454545454,0.6639321719678863,0.9658616577221228
percussion,26,0.35135135135135137,0.5,0.4126984126984127,0.4830958870545971,0.9337685250529287
youthful,19,0.4444444444444444,0.8421052631578947,0.5818181818181818,0.7214563435639441,0.9755434782608695
male singer,16,0.4,0.75,0.5217391304347826,0.6336612263832659,0.9828828828828828
no voices,27,0.7941176470588235,1.0,0.8852459016393442,0.8000286321599314,0.9936683006535948
upbeat,20,0.5833333333333334,0.7,0.6363636363636364,0.5759315539367691,0.9456442831215971
bass,21,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.48325068960573164,0.9654112554112555
loud,19,0.5217391304347826,0.631578947368421,0.5714285714285714,0.6707047615622933,0.9692028985507246
mellow,16,0.56,0.875,0.6829268292682927,0.7361745864592809,0.9913288288288288
exciting,23,0.59375,0.8260869565217391,0.6909090909090909,0.865792113581678,0.9906378927324659
fun,11,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.560405268036662,0.9150974025974026
cheerful,10,0.4117647058823529,0.7,0.5185185185185185,0.6289538239538239,0.9823529411764707
keyboard harmony,18,0.3142857142857143,0.6111111111111112,0.41509433962264153,0.4870163056984236,0.962527627084589
easygoing,16,0.7368421052631579,0.875,0.8,0.8780216658919142,0.9809684684684685
intense,10,0.5,0.7,0.5833333333333334,0.5888311688311688,0.9909090909090909
enthusiastic,9,0.2413793103448276,0.7777777777777778,0.3684210526315789,0.22336731822412711,0.9591735863977856
