label,support,precision,recall,f1,auc_pr,roc_auc
low quality,142,0.2486865148861646,1.0,0.39831697054698456,0.25753343859964883,0.48501263994221744
instrumental,99,0.17674418604651163,0.7676767676767676,0.28733459357277885,0.21737854078687308,0.5736496319123439
emotional,54,0.18032786885245902,0.6111111111111112,0.27848101265822783,0.19687905177851445,0.7203058958378107
noisy,75,0.17482517482517482,0.3333333333333333,0.22935779816513763,0.18391002338009044,0.5802956989247312
medium tempo,56,0.0,0.0,0.0,0.10554515381573006,0.5126213592233009
passionate,55,0.13402061855670103,0.7090909090909091,0.2254335260115607,0.19403876081804552,0.6427589852008457
energetic,63,0.14184397163120568,0.9523809523809523,0.24691358024691357,0.3473042338283641,0.7961973503312085
amateur recording,60,0.15789473684210525,0.4,0.22641509433962265,0.14873391190228868,0.6238421395955642
slow tempo,51,0.22727272727272727,0.39215686274509803,0.28776978417266186,0.23350819259658753,0.7683634992458521
live performance,54,0.15172413793103448,0.4074074074074074,0.22110552763819097,0.17050788040227027,0.6581417006948922
acoustic drums,33,0.10526315789473684,0.8484848484848485,0.18729096989966554,0.1760660508496473,0.7850343584544328
fast tempo,37,0.09319899244332494,1.0,0.17050691244239632,0.11909987206007684,0.7270472719910923
mono,41,0.12903225806451613,0.0975609756097561,0.1111111111111111,0.09555208911427407,0.5656235618959963
groovy,24,0.112,0.5833333333333334,0.18791946308724833,0.1541860172680764,0.754303778184034
electric guitar,25,0.0,0.0,0.0,0.10378462058926836,0.5853113553113554
bass guitar,24,0.14,0.2916666666666667,0.1891891891891892,0.17196981970363337,0.813566422912858
acoustic guitar,36,0.2,0.19444444444444445,0.19718309859154928,0.15909909060884087,0.7098909657320871
instrumental music,19,0.0,0.0,0.0,0.06444299993914654,0.6249523264683448
uptempo,27,0.05555555555555555,0.4444444444444444,0.09876543209876543,0.06738301089636259,0.6044049564270152
piano,25,0.0,0.0,0.0,0.09862602224915862,0.706996336996337
poor audio quality,16,0.0,0.0,0.0,0.059783955803012656,0.6153153153153152
e-bass,23,0.08196721311475409,0.8695652173913043,0.149812734082397,0.09496923303019261,0.7661059980958427
happy,14,0.08695652173913043,0.14285714285714285,0.10810810810810811,0.04524992859882631,0.5801487560913055
groovy bass,22,0.08641975308641975,0.6363636363636364,0.15217391304347827,0.07561614893344025,0.7499586024176188
punchy kick,25,0.07569721115537849,0.76,0.13768115942028986,0.07026383123279005,0.6855677655677656
moderate tempo,26,0.0,0.0,0.0,0.05832399137788614,0.5968595624558927
punchy snare,30,0.10040160642570281,0.8333333333333334,0.17921146953405018,0.1738967746730971,0.7667282809611831
male voice,32,0.0,0.0,0.0,0.10839686676484667,0.6205067254174397
shimmering hi hats,25,0.05263157894736842,0.12,0.07317073170731707,0.06612711731579413,0.6509157509157508
male vocal,14,0.02197802197802198,0.14285714285714285,0.0380952380952381,0.03994577137997413,0.6498461143883048
rock,20,0.11764705882352941,0.1,0.10810810810810811,0.0985053574475757,0.7006805807622505
spirited,15,0.0,0.0,0.0,0.04765115951548852,0.5702038369304556
electronic drums,15,0.04081632653061224,0.5333333333333333,0.07582938388625593,0.0558568879622474,0.7262589928057555
pop,20,0.0,0.0,0.0,0.09072183182077773,0.6542649727767695
romantic,12,0.0,0.0,0.0,0.041181825563481524,0.6967799642218246
percussion,26,0.6666666666666666,0.07692307692307693,0.13793103448275862,0.17406065218083844,0.7227593507410022
youthful,19,0.11538461538461539,0.15789473684210525,0.13333333333333333,0.09104952989462636,0.7208714721586574
male singer,16,0.0,0.0,0.0,0.05264349789612775,0.6501126126126127
no voices,27,0.0,0.0,0.0,0.10068075521487646,0.6747004357298474
upbeat,20,0.037037037037037035,0.05,0.0425531914893617,0.0934888194866685,0.7502722323049
bass,21,0.0,0.0,0.0,0.0656636200220739,0.6486147186147186
loud,19,0.5,0.05263157894736842,0.09523809523809523,0.13102551238334023,0.6325800915331807
mellow,16,0.0,0.0,0.0,0.16761835343004097,0.850731981981982
exciting,23,0.0,0.0,0.0,0.08151894646129355,0.6835131704220883
fun,11,0.0,0.0,0.0,0.021413927054776516,0.5233766233766233
cheerful,10,0.0,0.0,0.0,0.04902390140905678,0.7616755793226382
keyboard harmony,18,0.0,0.0,0.0,0.059573266517899646,0.7053445850914204
easygoing,16,0.0,0.0,0.0,0.0678260521731185,0.6774774774774774
intense,10,0.0,0.0,0.0,0.0453090911738639,0.7113190730837791
enthusiastic,9,0.0,0.0,0.0,0.020711603724990375,0.584321866350336
