label,support,precision,recall,f1,auc_pr,roc_auc
low quality,142,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9986314871014987,0.9995403657375488
instrumental,99,0.8767123287671232,0.6464646464646465,0.7441860465116279,0.8676839790795343,0.9650209724362268
emotional,54,0.7083333333333334,0.6296296296296297,0.6666666666666666,0.801590962297454,0.9654882154882155
noisy,75,0.8939393939393939,0.7866666666666666,0.8368794326241135,0.8956016887449614,0.9814650537634408
medium tempo,56,0.7878787878787878,0.4642857142857143,0.5842696629213483,0.6426017365026419,0.9372746185852981
passionate,55,0.7076923076923077,0.8363636363636363,0.7666666666666667,0.8581588059895487,0.9583157152924595
energetic,63,0.7377049180327869,0.7142857142857143,0.7258064516129032,0.8071767527054471,0.9534433195850518
amateur recording,60,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6578679392120589,0.9351108936725375
slow tempo,51,0.75,0.5294117647058824,0.6206896551724138,0.6340136606688531,0.9218137254901961
live performance,54,0.7916666666666666,0.7037037037037037,0.7450980392156863,0.7969239313726875,0.9487606562074647
acoustic drums,33,0.6595744680851063,0.9393939393939394,0.775,0.821322944732112,0.9879182156133829
fast tempo,37,0.6410256410256411,0.6756756756756757,0.6578947368421053,0.769479489356816,0.9655076424739345
mono,41,0.8048780487804879,0.8048780487804879,0.8048780487804879,0.8719545584401535,0.9825586746433502
groovy,24,0.6333333333333333,0.7916666666666666,0.7037037037037037,0.7649453966615651,0.9706352833638026
electric guitar,25,0.6216216216216216,0.92,0.7419354838709677,0.767613517045601,0.988058608058608
bass guitar,24,0.75,0.875,0.8076923076923077,0.9046468969376639,0.9827468007312614
acoustic guitar,36,0.6363636363636364,0.7777777777777778,0.7,0.7162872000535974,0.9642004153686397
instrumental music,19,0.782608695652174,0.9473684210526315,0.8571428571428571,0.8945988007520514,0.9842677345537757
uptempo,27,0.34545454545454546,0.7037037037037037,0.4634146341463415,0.43063184071214444,0.9540441176470589
piano,25,0.7692307692307693,0.8,0.7843137254901961,0.7549291562138641,0.9767399267399267
poor audio quality,16,0.5454545454545454,0.75,0.631578947368421,0.541729452446848,0.9824887387387387
e-bass,23,0.6388888888888888,1.0,0.7796610169491526,0.8758571210641459,0.9964297048556013
happy,14,0.5,0.7142857142857143,0.5882352941176471,0.7537226786484986,0.9519107463452168
groovy bass,22,0.42,0.9545454545454546,0.5833333333333334,0.7568620749286432,0.9856350389137275
punchy kick,25,0.45454545454545453,0.8,0.5797101449275363,0.553372960437482,0.9759340659340658
moderate tempo,26,0.49056603773584906,1.0,0.6582278481012658,0.5993180638829663,0.9788285109386028
punchy snare,30,0.6136363636363636,0.9,0.7297297297297297,0.7103296086976915,0.9866605052372149
male voice,32,0.717948717948718,0.875,0.7887323943661971,0.7712969968046699,0.9830705009276438
shimmering hi hats,25,0.5952380952380952,1.0,0.746268656716418,0.8503965618370997,0.9939194139194139
male vocal,14,0.7368421052631579,1.0,0.8484848484848485,0.9099449278545917,0.9982687868684278
rock,20,0.8,0.6,0.6857142857142857,0.6881074837242549,0.9274954627949182
spirited,15,0.23809523809523808,0.3333333333333333,0.2777777777777778,0.2822764372419573,0.958273381294964
electronic drums,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6426734355442796,0.9850719424460431
pop,20,0.6842105263157895,0.65,0.6666666666666666,0.7324131672115789,0.9300362976406533
romantic,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6163927656418554,0.962432915921288
percussion,26,0.4375,0.5384615384615384,0.4827586206896552,0.34764870385236635,0.9097741707833451
youthful,19,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.7233570827439791,0.9766399694889397
male singer,16,0.5263157894736842,0.625,0.5714285714285714,0.6499401720461503,0.9805180180180181
no voices,27,0.8125,0.9629629629629629,0.8813559322033898,0.8355730682634253,0.99400871459695
upbeat,20,0.2631578947368421,0.25,0.2564102564102564,0.3685835334596119,0.9199637023593467
bass,21,0.5714285714285714,0.7619047619047619,0.6530612244897959,0.5235493856185944,0.947012987012987
loud,19,0.6111111111111112,0.5789473684210527,0.5945945945945946,0.583093851765586,0.9462719298245614
mellow,16,0.5652173913043478,0.8125,0.6666666666666666,0.7334779702986225,0.9884572072072072
exciting,23,0.68,0.7391304347826086,0.7083333333333334,0.7924805014715786,0.9816724849254205
fun,11,0.46153846153846156,0.5454545454545454,0.5,0.6188134053337816,0.9338474025974025
cheerful,10,0.35294117647058826,0.6,0.4444444444444444,0.4306830288252087,0.9754010695187165
keyboard harmony,18,0.4375,0.3888888888888889,0.4117647058823529,0.4885990287320549,0.9480610809724733
easygoing,16,0.7142857142857143,0.9375,0.8108108108108109,0.8573114299700987,0.9762387387387388
intense,10,0.5714285714285714,0.4,0.47058823529411764,0.5919062631357713,0.9841354723707665
enthusiastic,9,0.2,0.4444444444444444,0.27586206896551724,0.2784651949357832,0.9623368920521945
