label,support,precision,recall,f1,auc_pr,roc_auc
experimental,21,0.5,0.047619047619047616,0.08695652173913043,0.05686298575681754,0.3719549756398051
electronic,35,0.5714285714285714,0.11428571428571428,0.19047619047619047,0.1467948807104427,0.7055577453685455
instrumental,17,0.0,0.0,0.0,0.01598417406624973,0.8015885806377345
classical,13,0.020833333333333332,0.07692307692307693,0.03278688524590164,0.10400459586287039,0.9781465115580004
idm,9,0.0,0.0,0.0,0.09667377474210545,0.981271946937183
electronica,14,1.0,0.21428571428571427,0.35294117647058826,0.22509319411292125,0.7645761197364012
horror,5,1.0,0.8,0.8888888888888888,0.8416666666666667,0.9985196727697702
techno,2,0.25,0.5,0.3333333333333333,0.5017953321364452,0.8920233463035019
tracks to sync,6,0.0,0.0,0.0,0.003454243479389429,0.6327617563003377
punk,21,0.0,0.0,0.0,0.011124032849313955,0.6382184390808461
rock,29,1.0,0.034482758620689655,0.06666666666666667,0.045510079075525664,0.5131598573501295
piano,11,1.0,0.09090909090909091,0.16666666666666666,0.4335418394241924,0.9932199779915516
hip hop,1,1.0,1.0,1.0,1.0,1.0
acoustic,4,1.0,0.25,0.4,0.25367436271986854,0.5217095015576324
electro,33,0.0,0.0,0.0,0.09516288224678113,0.9426044613126142
jazz,5,1.0,0.2,0.3333333333333333,0.20325794132279945,0.6317880794701987
noise,10,1.0,0.1,0.18181818181818182,0.1120682590503229,0.8269320843091335
soundtrack,8,0.0,0.0,0.0,0.004624129253182479,0.6442570202808112
psychedelic,13,0.0,0.0,0.0,0.007680166950962749,0.6753840141882346
clinical archives,5,0.0,0.0,0.0,0.02001595131311132,0.9457732761978963
dance,8,0.0,0.0,0.0,0.00761415243943374,0.7860764430577223
ambient,23,0.0,0.0,0.0,0.0067688753362222555,0.369539631910212
halloween,5,1.0,0.8,0.8888888888888888,0.9666666666666666,0.9999220880405143
shoegaze,0,0.0,0.0,0.0,0.0,
downtempo,5,0.0,0.0,0.0,0.0036014758735782126,0.692169848071679
folk,14,0.0,0.0,0.0,0.008187915876722218,0.611498938903161
new zealand,45,0.0,0.0,0.0,0.7379466828365238,0.9549663632766126
dub,10,1.0,0.4,0.5714285714285714,0.4080306933776582,0.6578064012490242
pop,10,1.0,0.1,0.18181818181818182,0.17954146251926492,0.8867291178766589
chiptune,47,1.0,0.06382978723404255,0.12,0.3521382835902094,0.9481103855066357
chip music,4,1.0,0.75,0.8571428571428571,0.8088235294117647,0.9987344236760125
glitch,11,0.0,0.0,0.0,0.04495715019075916,0.8946789251357777
section 27,0,0.0,0.0,0.0,0.0,
choral,2,0.0,0.0,0.0,0.010816326530612244,0.9474708171206225
bach,0,0.0,0.0,0.0,0.0,
new wave,26,1.0,0.038461538461538464,0.07407407407407407,0.05323744086785844,0.4129705722400145
era 1,2,1.0,1.0,1.0,1.0,1.0
chamber music,0,0.0,0.0,0.0,0.0,
drone,16,0.0,0.0,0.0,0.00945573250829941,0.601476917057903
spettro records,13,0.0,0.0,0.0,0.4661558275811669,0.995911864610575
funk,7,0.0,0.0,0.0,0.006169029820319486,0.761793372319688
terror,2,1.0,1.0,1.0,1.0,1.0
new york city,0,0.0,0.0,0.0,0.0,
johann sebastian bach,0,0.0,0.0,0.0,0.0,
8bit,35,0.0,0.0,0.0,0.1701418002540164,0.9421363815530154
dubstep,8,1.0,0.125,0.2222222222222222,0.1321058322536544,0.7751560062402496
guitar,0,0.0,0.0,0.0,0.0,
betterwithmusic,0,0.0,0.0,0.0,0.0,
metal,3,0.0,0.0,0.0,0.002309111806045562,0.6725055144673673
baroque,0,0.0,0.0,0.0,0.0,
