label,support,precision,recall,f1,auc_pr,roc_auc
experimental,21,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.027543378109827512,0.6218849750798006
electronic,35,0.18181818181818182,0.11428571428571428,0.14035087719298245,0.15800303251706352,0.7226758263415732
instrumental,17,0.0,0.0,0.0,0.04149965860558441,0.9190284332911247
classical,13,0.020833333333333332,0.07692307692307693,0.03278688524590164,0.07635724294304064,0.9694291640364325
idm,9,0.0,0.0,0.0,0.05850230381594297,0.9680062426843543
electronica,14,0.09375,0.21428571428571427,0.13043478260869565,0.24102313435466421,0.9158382665028483
horror,5,0.8,0.8,0.8,0.8999999999999999,0.9996104402025712
techno,2,0.2,0.5,0.2857142857142857,0.5029154518950437,0.9336575875486381
tracks to sync,6,0.0,0.0,0.0,0.0014917704390008297,0.09599896076903089
punk,21,0.0,0.0,0.0,0.07161553950909537,0.9477702488286575
rock,29,0.2,0.034482758620689655,0.058823529411764705,0.055170077322517413,0.7246260864848739
piano,11,0.8888888888888888,0.7272727272727273,0.8,0.8906172110717566,0.9996095275283093
hip hop,1,1.0,1.0,1.0,1.0,1.0
acoustic,4,1.0,0.25,0.4,0.2533889602535891,0.7791082554517134
electro,33,0.0,0.0,0.0,0.06319808007879371,0.5838614582214425
jazz,5,1.0,0.2,0.3333333333333333,0.20239123677151405,0.5552006232956759
noise,10,0.0,0.0,0.0,0.04760853646159453,0.930015612802498
soundtrack,8,0.0,0.0,0.0,0.016369277506835124,0.9014235569422777
psychedelic,13,0.0,0.0,0.0,0.01825516213054896,0.7663450266029399
clinical archives,5,0.0,0.0,0.0,0.003255590743066256,0.6161277756135567
dance,8,0.0,0.0,0.0,0.34205898268398266,0.9746489859594383
ambient,23,0.0,0.0,0.0,0.01317920841493759,0.6212666518839443
halloween,5,0.8,0.8,0.8,0.9666666666666666,0.9999220880405142
shoegaze,0,0.0,0.0,0.0,0.0,
downtempo,5,0.0,0.0,0.0,0.001483807544093121,0.23108687183482665
folk,14,0.0,0.0,0.0,0.012350210332949783,0.7382162403663577
new zealand,45,0.5,0.022222222222222223,0.0425531914893617,0.5071152299965621,0.8909818405663282
dub,10,0.4444444444444444,0.4,0.42105263157894735,0.4122737054061868,0.9026151444184232
pop,10,0.5,0.1,0.16666666666666666,0.14490166189124504,0.7469164715066354
chiptune,47,0.8,0.0851063829787234,0.15384615384615385,0.3669819396262078,0.9459363808721298
chip music,4,1.0,1.0,1.0,1.0,1.0
glitch,11,0.0,0.0,0.0,0.016109920620386013,0.8632281424159597
section 27,0,0.0,0.0,0.0,0.0,
choral,2,0.0,0.0,0.0,0.0017143826927889497,0.6357976653696498
bach,0,0.0,0.0,0.0,0.0,
new wave,26,0.3333333333333333,0.038461538461538464,0.06896551724137931,0.16135818898277532,0.7284579128648256
era 1,2,1.0,1.0,1.0,1.0,1.0
chamber music,0,0.0,0.0,0.0,0.0,
drone,16,0.0,0.0,0.0,0.04642628909978912,0.6904098200312989
spettro records,13,0.0,0.0,0.0,0.2596209587685513,0.9542489554212884
funk,7,0.0,0.0,0.0,0.0027736630763611904,0.46338067390698967
terror,2,1.0,1.0,1.0,1.0,1.0
new york city,0,0.0,0.0,0.0,0.0,
johann sebastian bach,0,0.0,0.0,0.0,0.0,
8bit,35,0.0,0.0,0.0,0.2394028370929734,0.9458640689227996
dubstep,8,0.3333333333333333,0.125,0.18181818181818182,0.14432693846846645,0.7917804212168487
guitar,0,0.0,0.0,0.0,0.0,
betterwithmusic,0,0.0,0.0,0.0,0.0,
metal,3,0.0,0.0,0.0,0.005069041916569389,0.8366420137537304
baroque,0,0.0,0.0,0.0,0.0,
