label,support,precision,recall,f1,auc_pr,roc_auc
experimental,21,0.0,0.0,0.0,0.012506273955136126,0.6285490283922271
electronic,35,0.23529411764705882,0.11428571428571428,0.15384615384615385,0.2141390950653861,0.7005462019257841
instrumental,17,0.0,0.0,0.0,0.03113391857134729,0.8901577069183838
classical,13,0.020833333333333332,0.07692307692307693,0.03278688524590164,0.03602926138164737,0.9149307121171131
idm,9,0.2,0.3333333333333333,0.25,0.16606312029090836,0.9898556379243073
electronica,14,0.16666666666666666,0.21428571428571427,0.1875,0.23089449035899046,0.748296660337317
horror,5,0.5,0.8,0.6153846153846154,0.8043668122270743,0.9825477210751851
techno,2,0.047619047619047616,0.5,0.08695652173913043,0.5024570024570024,0.9212062256809339
tracks to sync,6,0.0,0.0,0.0,0.009295821274502175,0.8600935307872175
punk,21,0.0,0.0,0.0,0.10902467241478214,0.9588770043493681
rock,29,0.875,0.2413793103448276,0.3783783783783784,0.39895532314381266,0.7231209405128345
piano,11,1.0,0.8181818181818182,0.9,0.9133264462809918,0.9975151751801499
hip hop,1,0.5,1.0,0.6666666666666666,1.0,1.0
acoustic,4,0.09090909090909091,0.25,0.13333333333333333,0.25345232465311274,0.772196261682243
electro,33,0.0,0.0,0.0,0.0776848787038813,0.6095456335708404
jazz,5,0.5,0.2,0.2857142857142857,0.2023829766248745,0.5559018309310478
noise,10,0.16666666666666666,0.1,0.125,0.1067087121383729,0.7292740046838407
soundtrack,8,0.0,0.0,0.0,0.0039101470873743275,0.578636895475819
psychedelic,13,0.0,0.0,0.0,0.015169944011517483,0.8054829109928758
clinical archives,5,0.0,0.0,0.0,0.006362140596919406,0.8215816127775613
dance,8,1.0,0.25,0.4,0.8774570024570024,0.9805479719188768
ambient,23,0.0,0.0,0.0,0.025803981985288417,0.8153922254251454
halloween,5,1.0,0.8,0.8888888888888888,0.8117647058823529,0.9937670432411374
shoegaze,0,0.0,0.0,0.0,0.0,
downtempo,5,0.0,0.0,0.0,0.0016978443540668535,0.33322945072068566
folk,14,0.0,0.0,0.0,0.004375487374805381,0.3787557243382107
new zealand,45,0.0,0.0,0.0,0.4029383198277414,0.9721848480851251
dub,10,0.2857142857142857,0.4,0.3333333333333333,0.44305318301917707,0.9180327868852458
pop,10,0.5,0.1,0.16666666666666666,0.13824530766351611,0.6003512880562061
chiptune,47,0.96875,0.6595744680851063,0.7848101265822784,0.838130493228091,0.9873267326732673
chip music,4,0.1875,0.75,0.3,0.77,0.9955218068535825
glitch,11,0.0,0.0,0.0,0.04976527925689025,0.8978736999041568
section 27,0,0.0,0.0,0.0,0.0,
choral,2,0.0,0.0,0.0,0.0070023567802755616,0.9186770428015564
bach,0,0.0,0.0,0.0,0.0,
new wave,26,0.5,0.038461538461538464,0.07142857142857142,0.18255429716579666,0.7764970693093238
era 1,2,1.0,1.0,1.0,1.0,1.0
chamber music,0,0.0,0.0,0.0,0.0,
drone,16,0.0,0.0,0.0,0.013518721774471117,0.7627151799687011
spettro records,13,1.0,0.46153846153846156,0.631578947368421,0.6145258659696504,0.9549403312592059
funk,7,0.0,0.0,0.0,0.005184559909660526,0.7178501810080757
terror,2,0.6666666666666666,1.0,0.8,1.0,1.0
new york city,0,0.0,0.0,0.0,0.0,
johann sebastian bach,0,0.0,0.0,0.0,0.0,
8bit,35,1.0,0.02857142857142857,0.05555555555555555,0.7343358544542177,0.9959569795596599
dubstep,8,0.25,0.125,0.16666666666666666,0.13524224249001268,0.7844188767550702
guitar,0,0.0,0.0,0.0,0.0,
betterwithmusic,0,0.0,0.0,0.0,0.0,
metal,3,0.0,0.0,0.0,0.001519008931110772,0.49253925003243804
baroque,0,0.0,0.0,0.0,0.0,
