label,support,precision,recall,f1,auc_pr,roc_auc
low quality,142,0.24929971988795518,0.6267605633802817,0.35671342685370744,0.23993450784943116,0.4856035982796546
instrumental,99,0.2427536231884058,0.6767676767676768,0.35733333333333334,0.22539004054007505,0.6406544256120528
emotional,54,0.16339869281045752,0.46296296296296297,0.24154589371980675,0.18538591474961474,0.6842180671967906
noisy,75,0.1724137931034483,0.7333333333333333,0.27918781725888325,0.19035968080548443,0.6164784946236559
medium tempo,56,0.1330049261083744,0.48214285714285715,0.2084942084942085,0.16247494639988214,0.607385575589459
passionate,55,0.1291866028708134,0.4909090909090909,0.20454545454545456,0.1395184134116408,0.6041578576462296
energetic,63,0.2149122807017544,0.7777777777777778,0.33676975945017185,0.29432829340780536,0.7710442444694412
amateur recording,60,0.13986013986013987,0.6666666666666666,0.23121387283236994,0.16732597181779357,0.6455642530984996
slow tempo,51,0.17419354838709677,0.5294117647058824,0.2621359223300971,0.19476341223599575,0.7249057315233787
live performance,54,0.16317991631799164,0.7222222222222222,0.26621160409556316,0.2372537680120062,0.7152553907873057
acoustic drums,33,0.13114754098360656,0.7272727272727273,0.2222222222222222,0.24826928223340383,0.7932015320491157
fast tempo,37,0.10483870967741936,0.7027027027027027,0.1824561403508772,0.1512170693924582,0.6920487903633972
mono,41,0.10181818181818182,0.6829268292682927,0.17721518987341772,0.1269553053525211,0.6274505292222734
groovy,24,0.08421052631578947,0.6666666666666666,0.14953271028037382,0.12615360417252808,0.7257388787324801
electric guitar,25,0.075,0.48,0.12972972972972974,0.1867086029093612,0.6716849816849817
bass guitar,24,0.12142857142857143,0.7083333333333334,0.2073170731707317,0.15224206916212998,0.8013025594149908
acoustic guitar,36,0.13636363636363635,0.5833333333333334,0.22105263157894736,0.1933305317849003,0.7346573208722742
instrumental music,19,0.053811659192825115,0.631578947368421,0.09917355371900827,0.07545496470902445,0.6778699466056446
uptempo,27,0.08849557522123894,0.7407407407407407,0.15810276679841898,0.12625759930479385,0.7325367647058824
piano,25,0.09183673469387756,0.36,0.14634146341463414,0.08766481233273588,0.6684249084249085
poor audio quality,16,0.022058823529411766,0.1875,0.039473684210526314,0.03917227556226731,0.606813063063063
e-bass,23,0.09580838323353294,0.6956521739130435,0.16842105263157894,0.12703146967553483,0.7980799746112346
happy,14,0.03614457831325301,0.42857142857142855,0.06666666666666667,0.039439044428887016,0.6106052834060015
groovy bass,22,0.0658682634730539,0.5,0.1164021164021164,0.11606701512970852,0.7399817850637523
punchy kick,25,0.06593406593406594,0.48,0.11594202898550725,0.0819989655447862,0.6695238095238095
moderate tempo,26,0.07407407407407407,0.5384615384615384,0.13023255813953488,0.09081732510979186,0.6495765702187719
punchy snare,30,0.08928571428571429,0.5,0.15151515151515152,0.16286533596269964,0.6976894639556377
male voice,32,0.1111111111111111,0.59375,0.18719211822660098,0.1426714430157149,0.6987186920222636
shimmering hi hats,25,0.049689440993788817,0.32,0.08602150537634409,0.08870823002020406,0.6464835164835165
male vocal,14,0.0425531914893617,0.42857142857142855,0.07741935483870968,0.04469242809791851,0.6557450628366248
rock,20,0.11666666666666667,0.7,0.2,0.22396894801266579,0.8313520871143376
spirited,15,0.0297029702970297,0.2,0.05172413793103448,0.03576121641588957,0.5770383693045563
electronic drums,15,0.058823529411764705,0.5333333333333333,0.10596026490066225,0.10978618975977722,0.7377098321342925
pop,20,0.09022556390977443,0.6,0.1568627450980392,0.08963530542023783,0.7007713248638839
romantic,12,0.0625,0.3333333333333333,0.10526315789473684,0.1041045439076863,0.6993142516398331
percussion,26,0.09090909090909091,0.46153846153846156,0.1518987341772152,0.10905896815805015,0.6159844742413549
youthful,19,0.06358381502890173,0.5789473684210527,0.11458333333333333,0.057387378211082044,0.6654271548436308
male singer,16,0.047619047619047616,0.375,0.08450704225352113,0.05899581480022363,0.7206644144144144
no voices,27,0.08333333333333333,0.48148148148148145,0.14207650273224043,0.11633975657820834,0.7205541938997821
upbeat,20,0.06043956043956044,0.55,0.10891089108910891,0.08333516215659567,0.6692831215970962
bass,21,0.08547008547008547,0.47619047619047616,0.14492753623188406,0.09464077644756307,0.706926406926407
loud,19,0.08917197452229299,0.7368421052631579,0.1590909090909091,0.21252315237565067,0.7989607170099161
mellow,16,0.09411764705882353,0.5,0.15841584158415842,0.10509379623508505,0.8095720720720722
exciting,23,0.06372549019607843,0.5652173913043478,0.1145374449339207,0.093175830473304,0.6870437956204379
fun,11,0.04032258064516129,0.45454545454545453,0.07407407407407407,0.03884836859025662,0.6931006493506493
cheerful,10,0.0196078431372549,0.2,0.03571428571428571,0.036510409499270834,0.7052584670231729
keyboard harmony,18,0.06382978723404255,0.3333333333333333,0.10714285714285714,0.07012372505303495,0.7304098854731766
easygoing,16,0.07017543859649122,0.25,0.1095890410958904,0.0883602780047735,0.6983108108108109
intense,10,0.03529411764705882,0.3,0.06315789473684211,0.039020151313062024,0.6814616755793226
enthusiastic,9,0.021052631578947368,0.2222222222222222,0.038461538461538464,0.022405824720454992,0.6172400158165282
