label,support,precision,recall,f1,auc_pr,roc_auc
low quality,142,0.9724137931034482,0.9929577464788732,0.9825783972125436,0.9977365287426487,0.9993187563610099
instrumental,99,0.78,0.7878787878787878,0.7839195979899497,0.8282105761152934,0.9546524567711009
emotional,54,0.4691358024691358,0.7037037037037037,0.562962962962963,0.6353670863040538,0.9349165412995201
noisy,75,0.7906976744186046,0.9066666666666666,0.84472049689441,0.9308720364577661,0.9876209677419354
medium tempo,56,0.6521739130434783,0.5357142857142857,0.5882352941176471,0.5793211999300172,0.9175277392510401
passionate,55,0.6290322580645161,0.7090909090909091,0.6666666666666666,0.7346835697478233,0.9488900634249472
energetic,63,0.6470588235294118,0.5238095238095238,0.5789473684210527,0.6619843288055701,0.9251499812523435
amateur recording,60,0.6349206349206349,0.6666666666666666,0.6504065040650406,0.6774060438172917,0.9383072407045011
slow tempo,51,0.49230769230769234,0.6274509803921569,0.5517241379310345,0.6238542794124226,0.9116704374057315
live performance,54,0.6666666666666666,0.7037037037037037,0.6846846846846847,0.7494216165942497,0.9433877784941614
acoustic drums,33,0.543859649122807,0.9393939393939394,0.6888888888888889,0.729832562723651,0.9803424580376252
fast tempo,37,0.6428571428571429,0.7297297297297297,0.6835443037974683,0.7541060702949689,0.9733019536390323
mono,41,0.8421052631578947,0.7804878048780488,0.810126582278481,0.8507103978382559,0.9797514956281638
groovy,24,0.3181818181818182,0.2916666666666667,0.30434782608695654,0.2897175249940087,0.8906154783668494
electric guitar,25,0.3793103448275862,0.88,0.5301204819277109,0.5867823516498121,0.9752014652014651
bass guitar,24,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.8668178325086219,0.9790143205362584
acoustic guitar,36,0.3770491803278688,0.6388888888888888,0.4742268041237113,0.4589357200809079,0.9188733125649013
instrumental music,19,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8932330897674657,0.9769736842105263
uptempo,27,0.25757575757575757,0.6296296296296297,0.3655913978494624,0.3403299060673353,0.9198325163398693
piano,25,0.48,0.48,0.48,0.4813464707761328,0.9172161172161172
poor audio quality,16,0.36666666666666664,0.6875,0.4782608695652174,0.601851183208704,0.9641891891891893
e-bass,23,0.6052631578947368,1.0,0.7540983606557377,0.917963927551861,0.9967073944779434
happy,14,0.27906976744186046,0.8571428571428571,0.42105263157894735,0.566174471271638,0.9617850730956655
groovy bass,22,0.5333333333333333,0.7272727272727273,0.6153846153846154,0.6170525881309116,0.9737539327703262
punchy kick,25,0.5454545454545454,0.72,0.6206896551724138,0.766913373482677,0.9825641025641025
moderate tempo,26,0.5,0.8846153846153846,0.6388888888888888,0.5303384820754861,0.9749470712773465
punchy snare,30,0.65,0.8666666666666667,0.7428571428571429,0.8617942112140019,0.9914664202094886
male voice,32,0.8571428571428571,0.75,0.8,0.7939169599022812,0.9757073283858998
shimmering hi hats,25,0.5,0.76,0.6031746031746031,0.6265339157323992,0.978058608058608
male vocal,14,0.6666666666666666,1.0,0.8,0.9059109657849154,0.998589381892793
rock,20,0.4482758620689655,0.65,0.5306122448979592,0.5152102985551239,0.9145644283121598
spirited,15,0.1951219512195122,0.5333333333333333,0.2857142857142857,0.26989095459353224,0.9454436450839329
electronic drums,15,0.5625,0.6,0.5806451612903226,0.4698350762800398,0.9191247002398081
pop,20,0.3055555555555556,0.55,0.39285714285714285,0.3207383788948204,0.878584392014519
romantic,12,0.3333333333333333,0.5833333333333334,0.42424242424242425,0.3708128160029082,0.9382081097197376
percussion,26,0.35135135135135137,0.5,0.4126984126984127,0.3309994093640053,0.9190190543401553
youthful,19,0.5185185185185185,0.7368421052631579,0.6086956521739131,0.6844992098800962,0.9689168573607932
male singer,16,0.5,0.6875,0.5789473684210527,0.6425861035506124,0.9675675675675676
no voices,27,0.6666666666666666,0.9629629629629629,0.7878787878787878,0.7286884226000558,0.9901960784313726
upbeat,20,0.22727272727272727,0.25,0.23809523809523808,0.20019005228025577,0.8803539019963701
bass,21,0.5,0.6190476190476191,0.5531914893617021,0.4012061796806374,0.94012987012987
loud,19,0.3333333333333333,0.3157894736842105,0.32432432432432434,0.3838989333528781,0.9350686498855835
mellow,16,0.5,0.8125,0.6190476190476191,0.675051503024123,0.9885698198198198
exciting,23,0.4230769230769231,0.4782608695652174,0.4489795918367347,0.5085888643971668,0.9547762615042843
fun,11,0.22580645161290322,0.6363636363636364,0.3333333333333333,0.3701945696389447,0.9293019480519481
cheerful,10,0.23076923076923078,0.6,0.3333333333333333,0.3524408146284125,0.9650623885918005
keyboard harmony,18,0.36363636363636365,0.6666666666666666,0.47058823529411764,0.5471163409911216,0.9639843279083785
easygoing,16,0.5882352941176471,0.625,0.6060606060606061,0.5249915895843944,0.9657094594594594
intense,10,0.5,0.9,0.6428571428571429,0.6594912540034491,0.988680926916221
enthusiastic,9,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.35040626438475897,0.9688612099644128
