label,support,precision,recall,f1,auc_pr,roc_auc
low quality,142,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9978381628578076,0.9993351718703832
instrumental,99,0.8541666666666666,0.8282828282828283,0.841025641025641,0.8850063253624176,0.9652349768875192
emotional,54,0.7547169811320755,0.7407407407407407,0.7476635514018691,0.8855631745707039,0.9813023855577048
noisy,75,0.8767123287671232,0.8533333333333334,0.8648648648648649,0.8981098710902328,0.9821505376344086
medium tempo,56,0.7586206896551724,0.39285714285714285,0.5176470588235295,0.572807366792619,0.9103155339805824
passionate,55,0.6923076923076923,0.8181818181818182,0.75,0.8587364970347502,0.9661557434813248
energetic,63,0.8235294117647058,0.6666666666666666,0.7368421052631579,0.8032419175494019,0.9437726534183227
amateur recording,60,0.6875,0.55,0.6111111111111112,0.6780765078519277,0.9352250489236791
slow tempo,51,0.5490196078431373,0.5490196078431373,0.5490196078431373,0.6443746442028866,0.907051282051282
live performance,54,0.8431372549019608,0.7962962962962963,0.819047619047619,0.8421581581068729,0.9561035890823124
acoustic drums,33,0.6521739130434783,0.9090909090909091,0.759493670886076,0.8443128980067895,0.9851864368592993
fast tempo,37,0.6666666666666666,0.5945945945945946,0.6285714285714286,0.6817390655733557,0.9540945439821844
mono,41,0.9166666666666666,0.8048780487804879,0.8571428571428571,0.8693753263883842,0.9793373216751035
groovy,24,0.5925925925925926,0.6666666666666666,0.6274509803921569,0.5784267790577923,0.9654555149299209
electric guitar,25,0.6153846153846154,0.96,0.75,0.8409110023208111,0.9907692307692308
bass guitar,24,0.7241379310344828,0.875,0.7924528301886793,0.9094327092994157,0.9934110298598415
acoustic guitar,36,0.54,0.75,0.627906976744186,0.6302523594080741,0.9548026998961578
instrumental music,19,0.9,0.9473684210526315,0.9230769230769231,0.9562262449268827,0.9935163996948895
uptempo,27,0.25862068965517243,0.5555555555555556,0.35294117647058826,0.3664060803926637,0.9263003812636166
piano,25,0.68,0.68,0.68,0.7126909789656884,0.971025641025641
poor audio quality,16,0.5263157894736842,0.625,0.5714285714285714,0.5673047792448795,0.9797860360360361
e-bass,23,0.7096774193548387,0.9565217391304348,0.8148148148148148,0.9158646209038777,0.9956363059346239
happy,14,0.8,0.5714285714285714,0.6666666666666666,0.7136727553314061,0.9343421390100026
groovy bass,22,0.53125,0.7727272727272727,0.6296296296296297,0.6132816772362808,0.9773969200198709
punchy kick,25,0.4583333333333333,0.88,0.6027397260273972,0.49676819302444297,0.9755677655677657
moderate tempo,26,0.42105263157894735,0.9230769230769231,0.5783132530120482,0.5964481746391023,0.979075511644319
punchy snare,30,0.5272727272727272,0.9666666666666667,0.6823529411764706,0.6370408066089789,0.9824707332101048
male voice,32,0.7941176470588235,0.84375,0.8181818181818182,0.8050256936257563,0.986810064935065
shimmering hi hats,25,0.46296296296296297,1.0,0.6329113924050633,0.6920389327324811,0.9882051282051282
male vocal,14,0.6086956521739131,1.0,0.7567567567567568,0.9149969078540507,0.9988458579122852
rock,20,0.6190476190476191,0.65,0.6341463414634146,0.7049324197181644,0.9359346642468239
spirited,15,0.42105263157894735,0.5333333333333333,0.47058823529411764,0.3476079958970536,0.9643884892086331
electronic drums,15,0.7058823529411765,0.8,0.75,0.633048128342246,0.9809352517985611
pop,20,0.6666666666666666,0.6,0.631578947368421,0.7117557608419793,0.9253176043557169
romantic,12,0.4666666666666667,0.5833333333333334,0.5185185185185185,0.5044895377620512,0.9501341681574239
percussion,26,0.43243243243243246,0.6153846153846154,0.5079365079365079,0.4992371385989411,0.9293225123500354
youthful,19,0.5384615384615384,0.7368421052631579,0.6222222222222222,0.7490804661658932,0.9796910755148741
male singer,16,0.5,0.5625,0.5294117647058824,0.49769764410466383,0.9684121621621622
no voices,27,0.7714285714285715,1.0,0.8709677419354839,0.8293032783325943,0.9936342592592592
upbeat,20,0.5,0.45,0.47368421052631576,0.43300246557064015,0.9349364791288566
bass,21,0.5142857142857142,0.8571428571428571,0.6428571428571429,0.5793874985159957,0.9598701298701299
loud,19,0.46153846153846156,0.631578947368421,0.5333333333333333,0.5385012222812174,0.9622425629290617
mellow,16,0.5714285714285714,0.75,0.6486486486486487,0.6378181354069978,0.9845720720720721
exciting,23,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.8169153047792608,0.9865915582354808
fun,11,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.5033096765181416,0.868831168831169
cheerful,10,0.5555555555555556,0.5,0.5263157894736842,0.6164510358181038,0.9602495543672015
keyboard harmony,18,0.4,0.4444444444444444,0.42105263157894735,0.4591406194137492,0.9552943540285312
easygoing,16,0.6363636363636364,0.875,0.7368421052631579,0.8379611187382078,0.9684684684684686
intense,10,0.4666666666666667,0.7,0.56,0.4925755248335893,0.9860071301247771
enthusiastic,9,0.17647058823529413,0.3333333333333333,0.23076923076923078,0.31035697214559,0.9624357453538948
