track_id,audio_path,error
1486,data\raw\fma_medium\001\001486.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\001\\\\001486.mp3': "")"
5574,data\raw\fma_medium\005\005574.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\005\\\\005574.mp3': "")"
65753,data\raw\fma_medium\065\065753.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\065\\\\065753.mp3': "")"
80391,data\raw\fma_medium\080\080391.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\080\\\\080391.mp3': "")"
98558,data\raw\fma_medium\098\098558.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\098\\\\098558.mp3': "")"
98559,data\raw\fma_medium\098\098559.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\098\\\\098559.mp3': "")"
98560,data\raw\fma_medium\098\098560.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\098\\\\098560.mp3': "")"
98565,data\raw\fma_medium\098\098565.mp3,"LibsndfileError(29, '')"
98566,data\raw\fma_medium\098\098566.mp3,"LibsndfileError(29, '')"
98567,data\raw\fma_medium\098\098567.mp3,"LibsndfileError(29, '')"
98568,data\raw\fma_medium\098\098568.mp3,"LibsndfileError(29, '')"
98569,data\raw\fma_medium\098\098569.mp3,"LibsndfileError(29, '')"
98571,data\raw\fma_medium\098\098571.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\098\\\\098571.mp3': "")"
99134,data\raw\fma_medium\099\099134.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\099\\\\099134.mp3': "")"
105247,data\raw\fma_medium\105\105247.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\105\\\\105247.mp3': "")"
108925,data\raw\fma_medium\108\108925.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\108\\\\108925.mp3': "")"
126981,data\raw\fma_medium\126\126981.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\126\\\\126981.mp3': "")"
127336,data\raw\fma_medium\127\127336.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\127\\\\127336.mp3': "")"
133297,data\raw\fma_medium\133\133297.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\133\\\\133297.mp3': "")"
143992,data\raw\fma_medium\143\143992.mp3,"LibsndfileError(7, ""Error opening 'data\\\\raw\\\\fma_medium\\\\143\\\\143992.mp3': "")"
